Date,Adj Close,Close,High,Low,Open,Volume
1/5/2021,270.156586,270.970001,272.399994,268.209991,268.290009,9871600
1/6/2021,262.519562,263.309998,267.75,260.01001,262,24354100
1/7/2021,267.933289,268.73999,271.609985,264.779999,265.899994,15789800
1/8/2021,266.766815,267.570007,268.950012,263.179993,268.309998,18528300
1/11/2021,256.069,256.839996,263.470001,255.899994,260.480011,30412300
1/12/2021,250.336258,251.089996,259.720001,250.300003,256.630005,26383500
1/13/2021,250.884613,251.639999,253.949997,249.199997,251.550003,19528900
1/14/2021,244.902634,245.639999,255.029999,244.610001,253.399994,29739400
1/15/2021,250.605438,251.360001,253.860001,247.160004,247.899994,24942900
1/19/2021,260.316223,261.100006,262.200012,252.720001,256.899994,28028500
1/20/2021,266.677063,267.480011,270.320007,263.600006,268.929993,25199900
1/21/2021,272.050873,272.869995,273.600006,267.48999,269.26001,20838700
1/22/2021,273.675964,274.5,278.470001,272,272.01001,21954000
1/25/2021,277.175476,278.01001,280.100006,271.51001,278.140015,19087000
1/26/2021,281.203308,282.049988,285.390015,277.809998,278.140015,19373600
1/27/2021,271.32309,272.140015,283.450012,268.119995,282.529999,35346200
1/28/2021,264.204498,265,286.790009,264.700012,277.179993,37758800
1/29/2021,257.554535,258.329987,266.559998,254.850006,265.299988,30389500
2/1/2021,261.22348,262.01001,264.170013,254.910004,259.519989,22914300
2/2/2021,266.278259,267.079987,268.850006,263.269989,264,17320800
2/3/2021,265.849548,266.649994,269.200012,263.839996,265.619995,14223400
2/4/2021,265.690033,266.48999,268.160004,264,267.01001,16060000
2/5/2021,267.295227,268.100006,269.170013,265.670013,266.799988,12454400
2/8/2021,265.779755,266.579987,269.859985,265,268.75,13755200
2/9/2021,268.641174,269.450012,273.390015,265.75,266.440002,14613400
2/10/2021,271.053864,271.869995,273.799988,267.720001,272.450012,14687200
2/11/2021,269.578339,270.390015,273.579987,268.48999,271.890015,12828600
2/12/2021,269.687988,270.5,271.179993,268.339996,270.519989,9097600
2/16/2021,273.147583,273.970001,276.600006,270.049988,270.799988,15417200
2/17/2021,272.748779,273.570007,273.970001,269.579987,271.23999,12763200
